genre,word,coefficient
Country,old,2.4438538095059354
Country,home,1.9319023367556165
Country,country,1.8736182333409728
Country,town,1.8510301708190036
Country,pretty,1.808965307272114
Country,believe,1.7320496830601548
Country,ve,1.6642773838019378
Country,bar,1.5993808301007166
Country,baby,1.5607581571484301
Country,lord,1.5085325165218708
Country,used,1.4536415709457637
Country,land,1.4437216858471684
Country,california,1.4311311700545672
Country,rain,1.411070500790624
Country,hang,1.3362195495778986
Hip-Hop/Rap,uh,2.8044138118890714
Hip-Hop/Rap,nigga,2.6970811491961966
Hip-Hop/Rap,cause,2.6718852807257525
Hip-Hop/Rap,fuck,2.219715775302081
Hip-Hop/Rap,em,2.139741750438892
Hip-Hop/Rap,yo,2.1060557020654618
Hip-Hop/Rap,shit,1.9164051572714647
Hip-Hop/Rap,play,1.8341425529135584
Hip-Hop/Rap,like,1.8328292075250894
Hip-Hop/Rap,niggas,1.8314407101309838
Hip-Hop/Rap,man,1.7896079109273777
Hip-Hop/Rap,got,1.7505875787878733
Hip-Hop/Rap,hate,1.7063418508501373
Hip-Hop/Rap,ass,1.6667671935210673
Hip-Hop/Rap,ready,1.5576985235627043
Pop,calling,2.202534569882086
Pop,ooh,2.059723186001861
Pop,breathe,1.8929816542998272
Pop,coming,1.8665462680366267
Pop,gone,1.774228635288354
Pop,force,1.6884122709080998
Pop,space,1.4438494740746626
Pop,dream,1.438068421200698
Pop,won,1.4340176684395676
Pop,shelter,1.4260150191887415
Pop,love,1.412857902963217
Pop,wanna,1.3934340966459156
Pop,hurt,1.3608382349430774
Pop,forget,1.3291865219760042
Pop,mma,1.317680008963318
Rock,oh,2.2569247464520616
Rock,need,2.1638088970831526
Rock,walls,1.6903792339148966
Rock,hey,1.6277911049299043
Rock,save,1.5905770453804444
Rock,freaks,1.5812457362526475
Rock,modern,1.55037363423439
Rock,mon,1.5429613505555686
Rock,closer,1.5368468197735838
Rock,care,1.4747427614299058
Rock,hold,1.4649007344698286
Rock,breaking,1.4566591866963936
Rock,end,1.3633392851279997
Rock,eye,1.3499225009273055
Rock,dig,1.2414455898028214
